,SYMBOL,Gene,Feature
401,SLC2A6,ENSG00000160326,ENST00000485978
402,SLC2A6,ENSG00000160326,ENST00000414172
403,CACFD1,ENSG00000160325,ENST00000316948
404,CACFD1,ENSG00000160325,ENST00000542192
405,SLC2A6,ENSG00000160326,ENST00000432868
406,CACFD1,ENSG00000160325,ENST00000540581
407,CACFD1,ENSG00000160325,ENST00000444798
408,CACFD1,ENSG00000160325,ENST00000474734
409,SLC2A6,ENSG00000160326,ENST00000371899
410,CACFD1,ENSG00000160325,ENST00000291722
411,COL5A1,ENSG00000130635,ENST00000618395
412,COL5A1,ENSG00000130635,ENST00000371817
413,TBATA,ENSG00000166220,ENST00000299290
414,TBATA,ENSG00000166220,ENST00000456372
415,FAM213A,ENSG00000122378,ENST00000372188
416,FAM213A,ENSG00000122378,ENST00000372185
417,FAM213A,ENSG00000122378,ENST00000615554
418,FAM213A,ENSG00000122378,ENST00000372187
419,FAM213A,ENSG00000122378,ENST00000606162
420,FAM213A,ENSG00000122378,ENST00000372181
421,,,
422,OR4A6P,ENSG00000255078,ENST00000534364
423,DAGLA,ENSG00000134780,ENST00000540717
424,DKFZP434K028,ENSG00000124915,ENST00000541891
425,DAGLA,ENSG00000134780,ENST00000257215
426,DKFZP434K028,ENSG00000124915,ENST00000536405
427,,,ENSR00001803612
428,TMEM223,ENSG00000168569,ENST00000527073
429,NXF1,ENSG00000162231,ENST00000531579
430,TMEM223,ENSG00000168569,ENST00000525631
431,NXF1,ENSG00000162231,ENST00000532297
432,TMEM223,ENSG00000168569,ENST00000307366
433,NXF1,ENSG00000162231,ENST00000526163
434,NXF1,ENSG00000162231,ENST00000531709
435,TMEM223,ENSG00000168569,ENST00000528367
436,NXF1,ENSG00000162231,ENST00000530875
437,NXF1,ENSG00000162231,ENST00000533499
438,MIR6514,ENSG00000274066,ENST00000622549
439,NXF1,ENSG00000162231,ENST00000533440
440,NXF1,ENSG00000162231,ENST00000531872
441,NXF1,ENSG00000162231,ENST00000294172
442,NXF1,ENSG00000162231,ENST00000531131
443,NXF1,ENSG00000162231,ENST00000527902
444,NXF1,ENSG00000162231,ENST00000533048
445,NXF1,ENSG00000162231,ENST00000527497
446,GAPDHP70,ENSG00000249489,ENST00000515281
447,PEX5,ENSG00000139197,ENST00000535486
448,PEX5,ENSG00000139197,ENST00000539304
449,PEX5,ENSG00000139197,ENST00000266563
450,PEX5,ENSG00000139197,ENST00000536883
451,RP11-273B20.3,ENSG00000255572,ENST00000543061
