#node	identifier	node_degree
KDM5C	9606.ENSP00000364550	31
KIAA0355	9606.ENSP00000299505	3
KIAA0513	9606.ENSP00000457408	4
KIAA1109	9606.ENSP00000264501	3
KIAA1257	9606.ENSP00000265068	3
KIAA1671	9606.ENSP00000351207	3
KIF11	9606.ENSP00000260731	29
KIF24	9606.ENSP00000384433	2
KIF25	9606.ENSP00000496229	8
KIFC3	9606.ENSP00000442008	11
KIR2DL3	9606.ENSP00000342215	10
KIR3DL1	9606.ENSP00000375608	13
KIRREL2	9606.ENSP00000353331	1
KISS1	9606.ENSP00000356162	7
KITLG	9606.ENSP00000495951	16
KLC2	9606.ENSP00000399403	11
KLC4	9606.ENSP00000259708	10
KLHL18	9606.ENSP00000232766	5
KLRD1	9606.ENSP00000338130	22
KMT2B	9606.ENSP00000398837	17
KMT2D	9606.ENSP00000301067	38
KNL1	9606.ENSP00000335463	12
KRT3	9606.ENSP00000413479	2
KRT6A	9606.ENSP00000369317	7
KRT75	9606.ENSP00000252245	3
KRT9	9606.ENSP00000246662	2
KRTAP10-6	9606.ENSP00000383219	0
L1CAM	9606.ENSP00000359077	21
L3HYPDH	9606.ENSP00000247194	1
L3MBTL3	9606.ENSP00000357118	1
LAMB3	9606.ENSP00000375778	10
LAMC2	9606.ENSP00000264144	10
LAMTOR2	9606.ENSP00000357288	10
LENG8	9606.ENSP00000318374	3
LGALS14	9606.ENSP00000353893	0
LGR5	9606.ENSP00000266674	10
LHCGR	9606.ENSP00000294954	10
LHFPL2	9606.ENSP00000369702	3
LHFPL4	9606.ENSP00000287585	1
LHX9	9606.ENSP00000356357	7
LIFR	9606.ENSP00000398368	8
LILRA5	9606.ENSP00000404236	4
LILRA6	9606.ENSP00000379651	8
LILRB3	9606.ENSP00000245620	11
LIMD1	9606.ENSP00000273317	10
LIMK2	9606.ENSP00000339916	2
LIMS2	9606.ENSP00000326888	1
LLGL1	9606.ENSP00000321537	3
LMO3	9606.ENSP00000442786	2
LPA	9606.ENSP00000321334	13
LPCAT1	9606.ENSP00000283415	8
LPCAT2	9606.ENSP00000262134	7
LPIN1	9606.ENSP00000397908	12
LPIN3	9606.ENSP00000487971	6
LRFN3	9606.ENSP00000246529	4
LRMDA	9606.ENSP00000480240	5
LRPPRC	9606.ENSP00000260665	19
LRRC57	9606.ENSP00000326817	0
LRRFIP2	9606.ENSP00000338727	2
LRRN4	9606.ENSP00000368135	0
LRTM1	9606.ENSP00000273286	0
LSAMP	9606.ENSP00000419000	3
LSR	9606.ENSP00000480821	7
LSS	9606.ENSP00000380837	2
LST1	9606.ENSP00000365261	7
LY6G6C	9606.ENSP00000364978	2
LY6G6D	9606.ENSP00000364985	9
LYPLA2	9606.ENSP00000363638	2
MAN2C1	9606.ENSP00000457788	5
MAP2K3	9606.ENSP00000345083	7
MAP3K15	9606.ENSP00000345629	0
MAP3K2	9606.ENSP00000387246	5
MAP4K2	9606.ENSP00000294066	5
MAP7D1	9606.ENSP00000362244	3
MARK4	9606.ENSP00000262891	4
MAT1A	9606.ENSP00000361287	9
MBD5	9606.ENSP00000386049	5
MCF2L	9606.ENSP00000440374	2
MCRS1	9606.ENSP00000349640	10
MCTP2	9606.ENSP00000350377	3
MDGA1	9606.ENSP00000402584	1
MED13L	9606.ENSP00000281928	11
MED14	9606.ENSP00000323720	29
MED25	9606.ENSP00000326767	11
MEN1	9606.ENSP00000337088	33
MEP1A	9606.ENSP00000230588	1
METAP1D	9606.ENSP00000315152	9
MFSD10	9606.ENSP00000332646	3
MGAM	9606.ENSP00000447378	13
MGST1	9606.ENSP00000379512	5
MICAL2	9606.ENSP00000256194	1
MICALL1	9606.ENSP00000215957	7
MMP21	9606.ENSP00000357798	1
MMS19	9606.ENSP00000359818	6
MMUT	9606.ENSP00000274813	5
MOB3B	9606.ENSP00000262244	0
MOCS1	9606.ENSP00000344794	7
MORF4L1	9606.ENSP00000331310	19
MPIG6B	9606.ENSP00000497720	4
MREG	9606.ENSP00000263268	0
MRPL18	9606.ENSP00000356001	8
MRPL2	9606.ENSP00000373404	39
MRPL28	9606.ENSP00000497004	9
MRPL4	9606.ENSP00000306902	39
MRPS18C	9606.ENSP00000295491	17
MRPS22	9606.ENSP00000418008	13
MRPS23	9606.ENSP00000320184	10
MS4A4A	9606.ENSP00000338648	6
MSH5	9606.ENSP00000364855	10
MT-ATP6	9606.ENSP00000354632	29
MT-ATP8	9606.ENSP00000355265	12
MT-CO1	9606.ENSP00000354499	25
MT-CO2	9606.ENSP00000354876	23
MT-CO3	9606.ENSP00000354982	19
MT-ND1	9606.ENSP00000354687	27
MT-ND2	9606.ENSP00000355046	23
MT-ND3	9606.ENSP00000355206	24
MT-ND4	9606.ENSP00000354961	28
MT-ND4L	9606.ENSP00000354728	17
MTF1	9606.ENSP00000362127	2
MTIF2	9606.ENSP00000263629	30
MTRNR2L12	9606.ENSP00000468991	0
MUC15	9606.ENSP00000431983	8
MUC17	9606.ENSP00000302716	13
MUC3A	9606.ENSP00000368771	9
MUC4	9606.ENSP00000417498	11
MXD3	9606.ENSP00000401867	3
MYBBP1A	9606.ENSP00000370968	17
MYH13	9606.ENSP00000404570	9
MYH3	9606.ENSP00000464317	11
MYH7B	9606.ENSP00000483640	8
MYH9	9606.ENSP00000216181	33
MYO18A	9606.ENSP00000437073	9
MYO18B	9606.ENSP00000386096	8
MYO19	9606.ENSP00000479518	1
MYO1G	9606.ENSP00000258787	2
MYO7A	9606.ENSP00000386331	9
MYO7B	9606.ENSP00000415090	2
MYOD1	9606.ENSP00000250003	15
MYOM2	9606.ENSP00000262113	12
MYOM3	9606.ENSP00000363557	3
MYRF	9606.ENSP00000278836	3
MYT1	9606.ENSP00000498616	1
NAB1	9606.ENSP00000336894	1
NAT10	9606.ENSP00000257829	24
NAT16	9606.ENSP00000300303	2
NBAS	9606.ENSP00000281513	8
NBPF10	9606.ENSP00000463957	0
NCAM1	9606.ENSP00000480132	40
