"","atr01","atr02","atr03","gas01","gas02"
"AGAP5",93.42,46.92,82.39,94.38,59.85
"AGAP6",142.7,69.73,127.62,97.52,68.81
"AGAP7P",28.69,25.08,28.15,20.21,6.5
"AGAP9",90.44,82.42,181.62,186.47,136.2
"AGBL1",5,1,0,1,3
"AGBL1-AS1",0,0,0,4,1
"AGBL2",11,4,10,11,4
"AGBL3",5,4,3,8,6
"AGBL4",1,0,1,0,0
"AGBL4-IT1",0,0,0,0,0
"AGBL5",89,41,85,89.06,63.04
"AGBL5-AS1",0,0,0,0,0
"AGER",13,13,12,4,4
"AGFG1",908,194,797,681,419
"AGFG2",93,31,71,40,34
"AGGF1",471,130,440,372,227
"AGK",211,111,257,238,182
"AGL",499,162,530,502,351
"AGMAT",52.96,5.76,64.41,26.07,31.89
"AGMO",8,0,2,2,1
"AGO1",524,143,469,414,294
"AGO2",256,74,216,190,116
"AGO3",219,58,115,157,93
"AGO4",441.69,235.69,483.93,564.46,347.04
"AGPAT1",150,59,132,105,116
"AGPAT2",94,18,42,38,41
"AGPAT3",532,146,505,393,380
"AGPAT4",98,24,78,65,49
"AGPAT4-IT1",6,0,3,4,4
"AGPAT5",352,86,430,401,269
"AGPAT6",369,88,313,247,178
"AGPAT9",140,44,92,184,143
"AGPS",612,92,560,446,250
"AGR2",13403,1208,11992,6503,6904
"AGR3",288,11,224,180,96
"AGRN",104,34,66,82,83
"AGRP",1,0,0,2,0
"AGT",23,3,12,13,4
"AGTPBP1",286,56,283,187,103
"AGTR1",3,0,1,3,1
"AGTR2",0,0,0,0,1
"AGTRAP",10,3,12,10,11
"AGXT",0,0,0,0,0
"AGXT2",0,0,0,0,0
"AHCTF1",1091.36,306.42,925.6,938.67,579.34
"AHCTF1P1",5.64,2.58,9.4,1.33,2.66
"AHCY",219,45,195,149,124
"AHCYL1",779,209,764,770,601
"AHCYL2",790,304,1021,884,877
"AHDC1",55,22,31,35,36
"AHI1",541,227,509,527,310
"AHNAK",38091,8634,29977,26117,21291
"AHNAK2",122,24,52,57,29
"AHR",1989.03,259.31,1876.22,1583.05,906.32
"AHRR",43,5,7,8,13
"AHSA1",374,55,294,265,155
"AHSA2",495,266,552,432,214
"AHSG",0,0,0,0,0
"AHSP",0,0,0,0,0
"AICDA",20.67,1.33,25.42,10.19,7.56
"AIDA",507,115,405,436,256
"AIF1",138,11,178,79,80
"AIF1L",30,9,17,17,4
"AIFM1",268.29,147.99,230.5,262.06,291.28
"AIFM2",43,26,45,29,65
"AIFM3",9,1,3,1,1
"AIG1",199,45,157,140,115
"AIM1",1449,235,1309,1131,1310
"AIM1L",5,2,4,2,4
"AIM2",108,5,118,29,13
"AIMP1",353,110,416,325,286.2
"AIMP2",40.29,4.14,68.63,35.14,26.23
"AIP",48,6,49,26,25
"AIPL1",10.76,3.12,6.35,8.51,4.39
"AIRE",0,1,2,0,0
"AIRN",13,1,9,12,5
"AJAP1",8,0,1,1,0
"AJUBA",44,5,32,22,9
"AK1",98,20,53,45,44
"AK2",644,224,667,583,419
"AK3",436.04,166.59,346.55,550.37,283.63
"AK4",574,170,415,257,236
"AK5",23,4,25,20,10
"AK6",118.42,15,118,66.35,72.93
"AK7",40,7,36,35,41
"AK8",0,1,2,1,2
"AK9",133,77,136,151,112
"AKAP1",636,231,762,760,542
"AKAP10",356,145,322,320,232
"AKAP11",1432,349,1333,1128,593
"AKAP12",442,54,231,220,125
"AKAP13",3712,1110,3456,3267,2101
"AKAP14",0,0,0,0,0
"AKAP17A",250,90,215,193,128
"AKAP2",1042.92,187,623.16,621.78,285
"AKAP3",10,3,12,18,9
"AKAP4",0,0,0,0,0
"AKAP5",119.79,32.53,110.96,76.93,75.7
"AKAP6",61,14,35,14,17
"AKAP7",60,15,66,82,28
"AKAP8",249,86,263,174,134
"AKAP8L",190,92,229,155,110
"AKAP9",3207,1331,3244,3727,2151
"AKIP1",33.78,11.48,42.19,32.2,27.31
"AKIRIN1",253,47,195,169,131.02
"AKIRIN2",89,20,70,76,54
"AKNA",472.33,96.32,461.46,298.16,235.87
"AKNAD1",1,0,0,0,0
"AKR1A1",498,112,542,332,415
"AKR1B1",89,18,57,46,48
"AKR1B10",4651,892.04,5382.71,3049.34,4667.08
"AKR1B15",0,0.9,17.29,2.66,4.92
"AKR1C1",365.35,90.75,794.09,284.18,750.43
"AKR1C2",740.71,87.52,1460.65,300.12,622.9
"AKR1C3",1313.95,165.73,2202.26,991.69,1034.67
"AKR1C4",3,3,7,1,2
"AKR1C6P",0,2,0,0,0
"AKR1C8P",0,0,1,0,3
"AKR1D1",1.02,0.9,0.99,0,0
"AKR1E2",8,9,5,9,4
"AKR7A2",143.97,31,103.64,90.96,83.02
"AKR7A2P1",6,5,7,8,7
"AKR7A3",476.92,300.99,532.12,702.16,634.62
"AKR7L",166.11,117.01,199.24,209.87,239.36
"AKT1",366,109,330,277,223
"AKT1S1",33,11,35,31,31
"AKT2",135,58,124,96,77
"AKT3",436.96,62.2,283.47,209.4,102
"AKTIP",167.65,34.97,151.24,103.55,54.1
"ALAD",206,125,168,269,219
"ALAS1",408,81,293,218,282
"ALAS2",1,2,1,0,1
"ALB",2,3,0,0,4
"ALCAM",777,279,773,906,519
"ALDH16A1",44,10,38,22,21
"ALDH18A1",593,110,482,394,283
"ALDH1A1",2178,1444,4182,4291,3246
"ALDH1A2",9,0,4,4,6
"ALDH1A3",207,18,160,127,55
"ALDH1B1",45.95,5.02,59.07,42.48,38.2
"ALDH1L1",0,3,2,7,0
"ALDH1L1-AS1",0,0,0,0,0
"ALDH1L1-AS2",0,0,0,0,0
"ALDH1L2",140.04,140,93,160,191.01
"ALDH2",1218,203,1055,881,1306
"ALDH3A1",601,143,811,525,498
"ALDH3A2",1657,252,1375,895,647
"ALDH3B1",84.07,8.57,59.04,72.17,55.34
"ALDH3B2",13.1,0,3,3.92,3
"ALDH4A1",13,10,4,15,14
"ALDH5A1",171.78,64.98,158,214.18,82.98
"ALDH6A1",522.4,350.2,446.52,706.38,579.49
"ALDH7A1",188,93,171,194,189
"ALDH8A1",4,4,1,8,1
"ALDH9A1",451,109,372,380,280
"ALDOA",795,176,675,559,655
"ALDOB",42,31,37,16,30
"ALDOC",189,19,158,111,51
"ALG1",128.08,30.2,77.55,49.63,63.68
"ALG10",69.91,4.35,61.38,78.34,28.2
"ALG10B",264.09,67.65,277.62,325.66,132.8
"ALG11",193.83,47.23,156.11,149.54,101.44
"ALG12",79,18,63,56,41
"ALG13",543,165,485,512,255
"ALG14",71,15,59,51,28
"ALG1L",3,0,0,0,2
"ALG1L2",3,0,0,2,0
"ALG1L9P",26.85,12.62,14.27,21.03,14.24
"ALG2",322,46,267,243,142
"ALG3",56,8,45,35,30
"ALG5",133,23,161,138,85
"ALG6",106,20,98,73,53
"ALG8",85,13,80,71,48
"ALG9",216,53,161,150,94.01
"ALK",3,0,3,3,2
"ALKBH1",54,16,69,46,37
"ALKBH2",36,5,40,18,20
"ALKBH3",76,22,110,55,53
"ALKBH3-AS1",8,3,9,7,8
"ALKBH4",24.86,2,13.64,11.41,11.86
"ALKBH5",467,100,330,333,246
"ALKBH6",5,4,14,7,12
"ALKBH7",18,5,18,12,19
"ALKBH8",91,22,90,95,47
"ALLC",0,0,0,0,0
"ALMS1",962,332,801,1113,435
"ALMS1-IT1",10,11,12,26,10
"ALMS1P",4,4,3,5,4
"ALOX12",6,3,6,3,3
"ALOX12-AS1",5,2,9,9,0
"ALOX12B",1,3,0,1,0
"ALOX12P2",15,6,10,4,6
"ALOX15",15,0,13,5,7
"ALOX15B",0,5,0,6,2
"ALOX15P1",2,0,0,0,0
"ALOX5",186,19,137,64,63
"ALOX5AP",79,4,70,28,35
"ALOXE3",0,0,0,0,0
"ALPI",0,0,0,0,1
"ALPK1",278.02,96,279,223,162.82
"ALPK2",103,4,75,24,4
"ALPK3",27,38,16,43,11
"ALPL",7,1,14,3,0
"ALPP",0,0,0,0,0
"ALPPL2",0,0,0,0,0
"ALS2",350,122,345,340,207
"ALS2CL",120,48,81,70,46
"ALS2CR11",6,1,3,4,3
"ALS2CR12",7,2,14,10,13
"ALX1",0,0,0,0,0
"ALX3",1,2,1,2,2
"ALX4",6,1,3,7,2
"ALYREF",119,17,120,71,73
"AMACR",143,82,183,263.7,125
"AMBN",0,0,0,0,0
"AMBP",3,0,3,0,0
"AMBRA1",174.85,79.06,180.4,177.95,127.74
"AMD1",848,192,613,572,367
"AMDHD1",10,0,0,1,1
"AMDHD2",11,1,10,9,6
"AMELX",0,0,0,0,0
"AMELY",0,0,0,0,0
"AMER1",115,47,90,112,94
"AMER2",2.01,0,2.06,1,1
"AMER3",2,5,4,5,3
"AMFR",413,60,389,284,197
"AMH",1,2,2,0,1
"AMHR2",0,0,0,0,1
"AMICA1",199,33,174,125,82
"AMIGO1",21,7,9,8,13
"AMIGO2",31,2,29,15,6
"AMIGO3",26,9,20,28,15
"AMMECR1",209,48,178,124,125
"AMMECR1L",165,47,140,132,71
"AMN",12,1,10,19,11
"AMN1",63,25,69,91,40
"AMOT",166,36,160,185,98
"AMOTL1",275,53,150,159,103
"AMOTL2",121,61,106,122,97
"AMPD1",40,8,27,70,28
"AMPD2",117,29,124,68,72
"AMPD3",179,37,150,91,76
"AMPH",33,1,10,11,9
"AMT",56,20,43,38,36
"AMTN",1,7,0,0,22
"AMY1A",0,0,0,0,0
"AMY1B",0,0,0,0,0
"AMY1C",0,0,0,0,0
"AMY2A",1.05,0,0,0,0.96
"AMY2B",150.95,43,189,139,90.04
"AMZ1",13,3,6,6,13
"AMZ2",253,60,262,219,136
"AMZ2P1",37,16,22,34,27
"ANAPC1",437.35,102.28,391.77,318.19,178.35
"ANAPC10",41,11,75,52,42
"ANAPC11",26,10,25,20,13
"ANAPC13",209,68,168.36,205.5,120.34
"ANAPC15",40.37,11,66.26,41,42.97
"ANAPC16",542.47,181.16,631.17,612.66,327.78
"ANAPC1P1",3,1.01,3.2,0,2.05
"ANAPC2",48,17,36,35,37
"ANAPC4",315,100,269,216,145
