"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REG4",9.34840284397699,2.27747094382247,1.07001904800824,2.12843962737094,0.0333006505284933,0.999986993796386
"NBPF7",7.94024290517059,2.26741352135563,1.06592400084229,2.12718122451876,0.0334050285252279,0.999986993796386
"NKD1",42.2929904455453,1.00280568671384,0.471820335694348,2.12539734057472,0.0335534720104518,0.999986993796386
"KIAA1161",282.303154482179,-0.675270219441059,0.317794090234826,-2.12486713941749,0.0335977006107897,0.999986993796386
"RAB2A",555.315508152553,-0.553547448845286,0.260647815879723,-2.12373714691215,0.0336921293356608,0.999986993796386
"WDR72",23.8742906863142,-1.73270266182959,0.816369003826284,-2.12245033031447,0.0337999395138746,0.999986993796386
"MT2A",195.29284380812,-1.28009668487297,0.603635512279872,-2.12064508934898,0.0339516806687766,0.999986993796386
"FIGNL1",131.44627834374,0.652966885881596,0.307987358555468,2.12010937378782,0.0339968226308944,0.999986993796386
"SULT1A3",32.3315472845026,1.14228836777878,0.539341731451903,2.11793062017239,0.0341809439199558,0.999986993796386
"SULT1A4",32.3315472845026,1.14228836777878,0.539341731451903,2.11793062017239,0.0341809439199558,0.999986993796386
"RNASE1",1515.30698153283,-0.632988832318599,0.299087170178457,-2.11640249209257,0.0343105903091355,0.999986993796386
"PTPRD",59.1628841686213,-1.01843547198441,0.48166466626396,-2.11440768508913,0.0344804618422143,0.999986993796386
"GVINP1",505.272936648175,0.552843709563673,0.26154200506222,2.11378554443732,0.0345335881715921,0.999986993796386
"SLFN13",291.466913509392,0.602278491092502,0.285329351113929,2.11081856367458,0.0347879098890872,0.999986993796386
"SLC9A1",902.313369161549,-0.694248156134642,0.329333696574453,-2.1080386348431,0.0350276476964017,0.999986993796386
