"","ctl","atr"
"ABHD11-AS1",0.552931416249992,0.457409560837344
"ABHD12",159.367264960902,139.616841863595
"ABHD12B",0.842251313509565,0.507711379895583
"ABHD13",191.453190340781,193.519733476848
"ABHD14A",13.287663325578,11.8483322974205
"ABHD14A-ACY1",0,4.00985115108295
"ABHD14B",93.2412106775165,85.3547907883892
"ABHD15",67.8053120637088,60.1756418900997
"ABHD16A",60.2082592464428,53.9991933743093
"ABHD16B",3.67869844198854,4.4126928594621
"ABHD17A",36.4663924248844,30.8011733773474
"ABHD17B",77.5090817927756,79.5111319691664
"ABHD17C",229.904549307933,200.140554983801
"ABHD2",2997.70594364429,2812.74042813309
"ABHD3",148.507961232243,141.96187563609
"ABHD4",151.691986836974,117.536842775005
"ABHD5",157.24260589255,141.446865508775
"ABHD6",91.3147557410226,81.5808822310839
"ABHD8",5.75762907101687,4.06636344983168
"ABI1",444.897579332477,448.51641187869
"ABI2",197.015036507891,213.939322159421
"ABI3",17.7109527816066,30.87710217837
"ABI3BP",109.200947960637,123.417658869346
"ABL1",160.104782136451,146.030553665966
"ABL2",180.114776923539,272.405433223932
"ABLIM1",3663.61044507611,3288.33232429288
"ABLIM2",6.46922442881089,12.6242970387266
"ABLIM3",31.2019926060584,56.3498138959183
"ABO",17.5076246635906,11.3377909478581
"ABR",290.979103004823,354.080624165647
"ABRA",5.83634701691877,8.37455805377448
"ABRACL",78.4017345704506,85.1110991773864
"ABT1",40.0602422301697,52.2019839010889
"ABTB1",25.6751627078341,18.4048096267279
"ABTB2",16.6299584440487,15.2499855963479
"ACAA1",160.530324021418,144.071916474521
"ACAA2",203.359294384861,177.355418566725
"ACACA",314.243520688781,393.472183435529
"ACACB",323.610829476586,361.152281016349
"ACAD10",86.5039115033809,92.1100111174611
"ACAD11",70.0589952729493,96.9435504928229
"ACAD8",60.4559552409075,50.6742633231927
"ACAD9",98.6269853861593,123.123711822731
"ACADL",31.9864176022235,24.4789223107188
"ACADM",311.07886994849,295.075481385084
"ACADS",24.3867461657985,21.2131952531045
"ACADSB",467.207059352903,412.165985357032
"ACADVL",856.590906875809,745.223720928427
"ACAN",2.17951661438244,1.60620681846245
"ACAP1",33.5877168870954,55.0934156439483
"ACAP2",582.735424983421,616.467654800812
"ACAP3",36.385410709463,43.0550248070154
"ACAT1",359.52332387514,255.85856814391
"ACAT2",87.3974104410042,82.694229329973
"ACBD3",515.695106616665,488.082789390296
